make,model,year,driveTrain,cylinders,engineTorque,engineType,interiorColor,exteriorColor,horsepower,mileage,mpgHighway,mpgCity,state,transmission,vehicleSize,types,basePrice
Dodge,Journey,2013,2WD,4,,,Black,White,,71915,,,Texas,Automatic,Mid-size,Sport Utilities,13998.0
Toyota,Tundra,2012,4WD,8,401,Gas,Gray,Gray,381,105815,17,13,Texas,Automatic,Full-size,Pickup Trucks,28998.0
Toyota,RAV4,2015,2WD,4,,,Black,Black,,107188,,,Texas,Automatic,Compact,Sport Utilities,17998.0
Toyota,Tacoma,2016,2WD,4,180,Gas,Gray,Silver,159,120110,23,19,Texas,Automatic,Mid-size,Pickup Trucks,26998.0
Honda,CR-V,2013,4WD,4,163,Gas,Gray,Silver,185,114164,30,22,Texas,Automatic,Compact,"Crossovers,Sport Utilities",16998.0
Honda,CR-V,2013,4WD,4,163,Gas,Gray,Silver,185,114164,30,22,Texas,Automatic,Compact,"Crossovers,Sport Utilities",16998.0
GMC,Sierra 1500,2017,4WD,8,,,Black,Black,,111283,,,Texas,Automatic,Full-size,Pickup Trucks,36998.0
Ford,Mustang,2020,2WD,8,420,Gas,Black,Black,460,5399,24,,Texas,Manual 6 Speed,Mid-size,"Coupes,Sports Cars",39998.0
Toyota,Tacoma,2016,2WD,4,180,Gas,Gray,Silver,159,120110,23,19,Texas,Automatic,Mid-size,Pickup Trucks,26998.0
Honda,CR-V,2013,4WD,4,163,Gas,Gray,Silver,185,114164,30,22,Texas,Automatic,Compact,"Crossovers,Sport Utilities",16998.0
GMC,Sierra 1500,2017,4WD,8,,,Black,Black,,111283,,,Texas,Automatic,Full-size,Pickup Trucks,36998.0
Ford,Mustang,2020,2WD,8,420,Gas,Black,Black,460,5399,24,,Texas,Manual 6 Speed,Mid-size,"Coupes,Sports Cars",39998.0
Nissan,Titan,2013,4WD,8,385,Gas,Black,Silver,317,58849,17,12,Texas,Automatic,Full-size,Pickup Trucks,29998.0
Honda,CR-V,2013,4WD,4,163,Gas,Black,Gray,185,120625,30,22,Texas,Automatic,Compact,"Crossovers,Sport Utilities",16998.0
Dodge,Durango,2019,2WD,8,390,Gas,Black,Gray,360,43341,22,14,Texas,Automatic,Full-size,Sport Utilities,38998.0
Nissan,Armada,2014,2WD,8,385,Gas,Tan,Blue,317,69018,19,13,Texas,Automatic,Full-size,Sport Utilities,25998.0
Toyota,Tacoma,2014,2WD,6,266,Gas,Gray,Black,236,108143,21,17,Texas,Automatic,Mid-size,Pickup Trucks,28998.0
Cadillac,Escalade,2020,4WD,8,460,Gas,Black,White,420,9856,21,14,Texas,Automatic,Full-size,"Luxury Vehicles,Sport Utilities",81998.0
Honda,CR-V,2013,4WD,4,163,Gas,Black,Gray,185,120625,30,22,Texas,Automatic,Compact,"Crossovers,Sport Utilities",16998.0
Dodge,Durango,2019,2WD,8,390,Gas,Black,Gray,360,43341,22,14,Texas,Automatic,Full-size,Sport Utilities,38998.0
Nissan,Armada,2014,2WD,8,385,Gas,Tan,Blue,317,69018,19,13,Texas,Automatic,Full-size,Sport Utilities,25998.0
Kia,Optima,2015,2WD,4,181,Gas,Tan,Gray,192,109327,34,23,Texas,Automatic,Mid-size,Sedans,14998.0
Dodge,Durango,2019,2WD,8,390,Gas,Black,Gray,360,43341,22,14,Texas,Automatic,Full-size,Sport Utilities,38998.0
Nissan,Armada,2014,2WD,8,385,Gas,Tan,Blue,317,69018,19,13,Texas,Automatic,Full-size,Sport Utilities,25998.0
Kia,Optima,2015,2WD,4,181,Gas,Tan,Gray,192,109327,34,23,Texas,Automatic,Mid-size,Sedans,14998.0
Dodge,Grand Caravan,2020,2WD,6,260,Gas,Black,White,283,7147,,,Texas,Automatic,Full-size,Minivans and Vans,30998.0
Toyota,Highlander Hybrid,2021,2WD,4,175,Hybrid,Black,White,243,8110,,,Texas,Automatic,Mid-size,"Crossovers,Sport Utilities,Hybrids",54998.0
Land Rover,Range Rover,2015,4WD,6,,,Black,Gray,,49091,,,Texas,Automatic,Full-size,"Luxury Vehicles,Sport Utilities",52998.0
Ford,F150,2014,4WD,8,434,Gas,Black,Red,411,116968,16,11,Texas,Automatic,Full-size,Pickup Trucks,42998.0
Chevrolet,Silverado 1500,2020,2WD,6,305,Gas,Black,Brown,285,4796,21,16,Texas,Automatic,Full-size,Pickup Trucks,38998.0
Toyota,4Runner,2015,4WD,6,278,Gas,Tan,White,270,90576,21,17,Texas,Automatic,Mid-size,Sport Utilities,32998.0
Kia,Optima,2015,2WD,4,181,Gas,Tan,Gray,192,109327,34,23,Texas,Automatic,Mid-size,Sedans,14998.0
Dodge,Grand Caravan,2020,2WD,6,260,Gas,Black,White,283,7147,,,Texas,Automatic,Full-size,Minivans and Vans,30998.0
Land Rover,Range Rover,2015,4WD,6,,,Black,Gray,,49091,,,Texas,Automatic,Full-size,"Luxury Vehicles,Sport Utilities",52998.0
Nissan,Titan,2013,4WD,8,385,Gas,Black,Silver,317,58849,17,12,Texas,Automatic,Full-size,Pickup Trucks,29998.0
Chevrolet,Tahoe,2019,2WD,8,383,Gas,Black,Silver,355,44570,22,15,Texas,Automatic,Full-size,Sport Utilities,46998.0
Dodge,Durango,2018,4WD,6,260,Gas,Black,Silver,295,48691,25,18,Texas,Automatic,Full-size,Sport Utilities,34998.0
Chevrolet,Silverado 1500,2020,2WD,6,305,Gas,Black,Brown,285,4796,21,16,Texas,Automatic,Full-size,Pickup Trucks,38998.0
Toyota,4Runner,2015,4WD,6,278,Gas,Tan,White,270,90576,21,17,Texas,Automatic,Mid-size,Sport Utilities,32998.0
Chevrolet,Silverado 2500,2018,4WD,8,380,Alternative Fuel,Black,White,360,28972,,,Texas,Automatic,Full-size,Pickup Trucks,45998.0
Nissan,Pathfinder,2014,4WD,6,240,Gas,Tan,White,260,109612,25,19,Texas,Automatic,Mid-size,Sport Utilities,20998.0
Chevrolet,Tahoe,2015,2WD,8,,,Tan,Black,,97696,,,Texas,Automatic,Full-size,Sport Utilities,33998.0
Nissan,Pathfinder,2014,4WD,6,240,Gas,Tan,White,260,109612,25,19,Texas,Automatic,Mid-size,Sport Utilities,20998.0
Toyota,4Runner,2015,4WD,6,278,Gas,Tan,White,270,90576,21,17,Texas,Automatic,Mid-size,Sport Utilities,32998.0
Chevrolet,Silverado 2500,2018,4WD,8,380,Alternative Fuel,Black,White,360,28972,,,Texas,Automatic,Full-size,Pickup Trucks,45998.0
Nissan,Pathfinder,2014,4WD,6,240,Gas,Tan,White,260,109612,25,19,Texas,Automatic,Mid-size,Sport Utilities,20998.0
Cadillac,Escalade,2017,4WD,8,460,Gas,Black,White,420,60916,20,15,Texas,Automatic,Full-size,"Luxury Vehicles,Sport Utilities",54998.0
Ford,F250,2013,4WD,8,800,Turbo Diesel,Brown,White,400,73540,,,Texas,Automatic,Full-size,"Pickup Trucks,Diesel Engines",52998.0
Toyota,Tundra,2012,2WD,8,,,Gray,Gray,,77562,,,Texas,Automatic,Full-size,Pickup Trucks,27998.0
Chevrolet,Camaro,2015,2WD,8,420,Gas,Black,Black,426,12895,24,16,Texas,Manual 6 Speed,Mid-size,"Coupes,Sports Cars",35998.0
GMC,Sierra 2500,2021,4WD,8,,,Black,White,,8610,,,Texas,Automatic,Full-size,"Diesel Engines,Pickup Trucks",80998.0
Ford,Escape,2012,2WD,6,,,Black,Silver,,19490,,,Texas,Automatic,Compact,Sport Utilities,19998.0
Acura,TLX,2015,2WD,6,267,Gas,Brown,White,290,117933,34,21,Texas,Automatic,,"Luxury Vehicles,Sedans,Sports Cars",18998.0
Toyota,Tundra,2021,4WD,8,401,Gas,Brown,White,381,4765,,,Texas,Automatic,Full-size,Pickup Trucks,58998.0
Ford,F150,2015,4WD,8,,,Tan,Black,,100255,,,Texas,Automatic,Full-size,Pickup Trucks,30998.0
GMC,Yukon,2017,2WD,8,383,Gas,Gray,Red,355,46009,23,16,Texas,Automatic,Full-size,Sport Utilities,45998.0
Toyota,Tundra,2016,2WD,8,401,Gas,Gray,Gray,381,63700,18,13,Texas,Automatic,Full-size,Pickup Trucks,32998.0
Ford,F150,2014,2WD,8,380,Gas,Gray,Red,360,42616,21,15,Texas,Automatic,Full-size,Pickup Trucks,33998.0
GMC,Yukon,2016,2WD,8,460,Gas,Black,Black,420,67749,22,15,Texas,Automatic,Full-size,Sport Utilities,45998.0
GMC,Sierra 1500,2017,4WD,8,,,Black,Black,,111283,,,Texas,Automatic,Full-size,Pickup Trucks,36998.0
Ford,Mustang,2020,2WD,8,420,Gas,Black,Black,460,5399,24,,Texas,Manual 6 Speed,Mid-size,"Coupes,Sports Cars",39998.0
Nissan,Titan,2013,4WD,8,385,Gas,Black,Silver,317,58849,17,12,Texas,Automatic,Full-size,Pickup Trucks,29998.0
Nissan,Titan,2013,4WD,8,385,Gas,Black,Silver,317,58849,17,12,Texas,Automatic,Full-size,Pickup Trucks,29998.0
Chevrolet,Tahoe,2019,2WD,8,383,Gas,Black,Silver,355,44570,22,15,Texas,Automatic,Full-size,Sport Utilities,46998.0
Dodge,Durango,2018,4WD,6,260,Gas,Black,Silver,295,48691,25,18,Texas,Automatic,Full-size,Sport Utilities,34998.0
Chevrolet,Corvette,2016,2WD,8,650,Gas,Red,Red,650,17934,22,15,Texas,Automatic,Compact,"Coupes,Sports Cars",68998.0
Toyota,Tacoma,2014,2WD,6,266,Gas,Gray,Black,236,108143,21,17,Texas,Automatic,Mid-size,Pickup Trucks,28998.0
Chevrolet,Tahoe,2019,2WD,8,383,Gas,Black,Silver,355,44570,22,15,Texas,Automatic,Full-size,Sport Utilities,46998.0
Dodge,Durango,2018,4WD,6,260,Gas,Black,Silver,295,48691,25,18,Texas,Automatic,Full-size,Sport Utilities,34998.0
Kia,Optima,2015,2WD,4,181,Gas,Tan,Gray,192,109327,34,23,Texas,Automatic,Mid-size,Sedans,14998.0
Dodge,Grand Caravan,2020,2WD,6,260,Gas,Black,White,283,7147,,,Texas,Automatic,Full-size,Minivans and Vans,30998.0
Land Rover,Range Rover,2015,4WD,6,,,Black,Gray,,49091,,,Texas,Automatic,Full-size,"Luxury Vehicles,Sport Utilities",52998.0
Dodge,Grand Caravan,2020,2WD,6,260,Gas,Black,White,283,7147,,,Texas,Automatic,Full-size,Minivans and Vans,30998.0
Land Rover,Range Rover,2015,4WD,6,,,Black,Gray,,49091,,,Texas,Automatic,Full-size,"Luxury Vehicles,Sport Utilities",52998.0
Land Rover,Range Rover,2015,4WD,6,,,Black,Gray,,49091,,,Texas,Automatic,Full-size,"Luxury Vehicles,Sport Utilities",52998.0
Ford,F150,2014,4WD,8,434,Gas,Black,Red,411,116968,16,11,Texas,Automatic,Full-size,Pickup Trucks,42998.0
Chevrolet,Tahoe,2015,2WD,8,383,Gas,Tan,Black,355,121394,23,16,Texas,Automatic,Full-size,Sport Utilities,33998.0
Chevrolet,Tahoe,2014,2WD,8,335,Gas,Tan,Black,320,80295,21,15,Texas,Automatic,Full-size,Sport Utilities,31998.0
Ford,Fusion,2014,2WD,4,,Turbo Gas,Black,Black,,81688,,,Texas,Automatic,Mid-size,Sedans,16998.0
Toyota,Highlander Hybrid,2021,2WD,4,175,Hybrid,Black,White,243,8110,,,Texas,Automatic,Mid-size,"Crossovers,Sport Utilities,Hybrids",54998.0
Chevrolet,Tahoe,2015,2WD,8,383,Gas,Tan,Black,355,121394,23,16,Texas,Automatic,Full-size,Sport Utilities,33998.0
Chevrolet,Tahoe,2014,2WD,8,335,Gas,Tan,Black,320,80295,21,15,Texas,Automatic,Full-size,Sport Utilities,31998.0
Ford,Fusion,2014,2WD,4,,Turbo Gas,Black,Black,,81688,,,Texas,Automatic,Mid-size,Sedans,16998.0
Chevrolet,Silverado 2500,2018,4WD,8,380,Alternative Fuel,Black,White,360,28972,,,Texas,Automatic,Full-size,Pickup Trucks,45998.0
Nissan,Pathfinder,2014,4WD,6,240,Gas,Tan,White,260,109612,25,19,Texas,Automatic,Mid-size,Sport Utilities,20998.0
Cadillac,Escalade,2017,4WD,8,460,Gas,Black,White,420,60916,20,15,Texas,Automatic,Full-size,"Luxury Vehicles,Sport Utilities",54998.0
Chevrolet,Tahoe,2015,2WD,8,,,Tan,Black,,97696,,,Texas,Automatic,Full-size,Sport Utilities,33998.0
Ford,F150,2014,4WD,8,434,Gas,Black,Red,411,116968,16,11,Texas,Automatic,Full-size,Pickup Trucks,42998.0
Toyota,Highlander Hybrid,2021,2WD,4,175,Hybrid,Black,White,243,8110,,,Texas,Automatic,Mid-size,"Crossovers,Sport Utilities,Hybrids",54998.0
Chevrolet,Tahoe,2015,2WD,8,383,Gas,Tan,Black,355,121394,23,16,Texas,Automatic,Full-size,Sport Utilities,33998.0
Chevrolet,Tahoe,2014,2WD,8,335,Gas,Tan,Black,320,80295,21,15,Texas,Automatic,Full-size,Sport Utilities,31998.0
Chevrolet,Corvette,2016,2WD,8,650,Gas,Red,Red,650,17934,22,15,Texas,Automatic,Compact,"Coupes,Sports Cars",68998.0
Toyota,Tacoma,2014,2WD,6,266,Gas,Gray,Black,236,108143,21,17,Texas,Automatic,Mid-size,Pickup Trucks,28998.0
Cadillac,Escalade,2020,4WD,8,460,Gas,Black,White,420,9856,21,14,Texas,Automatic,Full-size,"Luxury Vehicles,Sport Utilities",81998.0
Honda,CR-V,2013,4WD,4,163,Gas,Black,Gray,185,120625,30,22,Texas,Automatic,Compact,"Crossovers,Sport Utilities",16998.0
Cadillac,Escalade,2017,4WD,8,460,Gas,Black,White,420,60916,20,15,Texas,Automatic,Full-size,"Luxury Vehicles,Sport Utilities",54998.0
Chevrolet,Tahoe,2015,2WD,8,,,Tan,Black,,97696,,,Texas,Automatic,Full-size,Sport Utilities,33998.0
Chevrolet,Silverado 1500,2016,2WD,8,,Hybrid,Black,White,,82049,24,18,Texas,Automatic,Full-size,Pickup Trucks,32998.0
Chevrolet,Silverado 1500,2016,2WD,8,,Hybrid,Black,White,,82049,24,18,Texas,Automatic,Full-size,Pickup Trucks,32998.0
Acura,TL,2012,2WD,6,254,Gas,Black,Black,280,72359,29,20,Texas,Automatic,Mid-size,"Luxury Vehicles,Sedans",17998.0
Cadillac,Escalade,2017,4WD,8,460,Gas,Black,White,420,60916,20,15,Texas,Automatic,Full-size,"Luxury Vehicles,Sport Utilities",54998.0
Chevrolet,Tahoe,2015,2WD,8,,,Tan,Black,,97696,,,Texas,Automatic,Full-size,Sport Utilities,33998.0
Chevrolet,Silverado 1500,2016,2WD,8,,Hybrid,Black,White,,82049,24,18,Texas,Automatic,Full-size,Pickup Trucks,32998.0
Acura,TL,2012,2WD,6,254,Gas,Black,Black,280,72359,29,20,Texas,Automatic,Mid-size,"Luxury Vehicles,Sedans",17998.0
GMC,Yukon XL 1500,2017,4WD,8,383,Gas,Black,Black,355,58292,22,15,Texas,Automatic,Full-size,Sport Utilities,46998.0
Chevrolet,Tahoe,2015,2WD,8,,,Tan,Black,,97696,,,Texas,Automatic,Full-size,Sport Utilities,33998.0
Chevrolet,Silverado 1500,2016,2WD,8,,Hybrid,Black,White,,82049,24,18,Texas,Automatic,Full-size,Pickup Trucks,32998.0
Acura,TL,2012,2WD,6,254,Gas,Black,Black,280,72359,29,20,Texas,Automatic,Mid-size,"Luxury Vehicles,Sedans",17998.0
GMC,Yukon XL 1500,2017,4WD,8,383,Gas,Black,Black,355,58292,22,15,Texas,Automatic,Full-size,Sport Utilities,46998.0
Toyota,Tacoma,2012,2WD,6,266,Gas,Gray,Tan,236,97272,21,17,Texas,Automatic,Mid-size,Pickup Trucks,25998.0
Lexus,IS 350,2016,2WD,6,277,Gas,Black,Black,306,95987,28,19,Texas,Automatic,Mid-size,"Luxury Vehicles,Sedans",25998.0
Jeep,Wrangler,2016,4WD,6,260,Gas,Black,Black,285,58585,21,16,Texas,Automatic,Compact,Sport Utilities,36998.0
Chevrolet,Tahoe,2017,2WD,8,383,Gas,Tan,White,355,43085,23,16,Texas,Automatic,Full-size,Sport Utilities,39998.0
GMC,Yukon,2015,2WD,8,383,Gas,Tan,Brown,355,70648,23,16,Texas,Automatic,Full-size,Sport Utilities,39998.0
Ram,2500,2019,4WD,6,850,Turbo Diesel,Gray,White,370,11916,,,Texas,Automatic,,"Pickup Trucks,Diesel Engines",45998.0
Jeep,Renegade,2017,4WD,4,175,Gas,Black,Silver,180,114395,29,21,Texas,Automatic,,"Crossovers,Sport Utilities",17998.0
Ford,Mustang,2020,2WD,8,420,Gas,Black,Red,460,4706,24,,Texas,Manual 6 Speed,Mid-size,"Coupes,Sports Cars",43998.0
Chevrolet,Tahoe,2019,2WD,8,383,Gas,Black,Silver,355,44570,22,15,Texas,Automatic,Full-size,Sport Utilities,46998.0
Dodge,Durango,2018,4WD,6,260,Gas,Black,Silver,295,48691,25,18,Texas,Automatic,Full-size,Sport Utilities,34998.0
Chevrolet,Corvette,2016,2WD,8,650,Gas,Red,Red,650,17934,22,15,Texas,Automatic,Compact,"Coupes,Sports Cars",68998.0
Toyota,Tacoma,2014,2WD,6,266,Gas,Gray,Black,236,108143,21,17,Texas,Automatic,Mid-size,Pickup Trucks,28998.0
Cadillac,Escalade,2020,4WD,8,460,Gas,Black,White,420,9856,21,14,Texas,Automatic,Full-size,"Luxury Vehicles,Sport Utilities",81998.0
Honda,CR-V,2013,4WD,4,163,Gas,Black,Gray,185,120625,30,22,Texas,Automatic,Compact,"Crossovers,Sport Utilities",16998.0
Chevrolet,Corvette,2016,2WD,8,650,Gas,Red,Red,650,17934,22,15,Texas,Automatic,Compact,"Coupes,Sports Cars",68998.0
Toyota,Tacoma,2014,2WD,6,266,Gas,Gray,Black,236,108143,21,17,Texas,Automatic,Mid-size,Pickup Trucks,28998.0
Cadillac,Escalade,2020,4WD,8,460,Gas,Black,White,420,9856,21,14,Texas,Automatic,Full-size,"Luxury Vehicles,Sport Utilities",81998.0
Honda,CR-V,2013,4WD,4,163,Gas,Black,Gray,185,120625,30,22,Texas,Automatic,Compact,"Crossovers,Sport Utilities",16998.0
Ford,F150,2014,4WD,8,434,Gas,Black,Red,411,116968,16,11,Texas,Automatic,Full-size,Pickup Trucks,42998.0
Ford,F150,2014,4WD,8,434,Gas,Black,Red,411,116968,16,11,Texas,Automatic,Full-size,Pickup Trucks,42998.0
Toyota,Highlander Hybrid,2021,2WD,4,175,Hybrid,Black,White,243,8110,,,Texas,Automatic,Mid-size,"Crossovers,Sport Utilities,Hybrids",54998.0
Chevrolet,Tahoe,2015,2WD,8,383,Gas,Tan,Black,355,121394,23,16,Texas,Automatic,Full-size,Sport Utilities,33998.0
Chevrolet,Tahoe,2014,2WD,8,335,Gas,Tan,Black,320,80295,21,15,Texas,Automatic,Full-size,Sport Utilities,31998.0
Ford,Fusion,2014,2WD,4,,Turbo Gas,Black,Black,,81688,,,Texas,Automatic,Mid-size,Sedans,16998.0
Honda,CR-V,2012,2WD,4,163,Gas,Gray,Silver,185,118870,31,23,Texas,Automatic,Compact,"Crossovers,Sport Utilities",15998.0
Toyota,Highlander Hybrid,2021,2WD,4,175,Hybrid,Black,White,243,8110,,,Texas,Automatic,Mid-size,"Crossovers,Sport Utilities,Hybrids",54998.0
Chevrolet,Tahoe,2015,2WD,8,383,Gas,Tan,Black,355,121394,23,16,Texas,Automatic,Full-size,Sport Utilities,33998.0
Chevrolet,Tahoe,2014,2WD,8,335,Gas,Tan,Black,320,80295,21,15,Texas,Automatic,Full-size,Sport Utilities,31998.0
Ford,Fusion,2014,2WD,4,,Turbo Gas,Black,Black,,81688,,,Texas,Automatic,Mid-size,Sedans,16998.0
Honda,CR-V,2012,2WD,4,163,Gas,Gray,Silver,185,118870,31,23,Texas,Automatic,Compact,"Crossovers,Sport Utilities",15998.0
Chevrolet,Corvette,2015,2WD,8,650,Gas,Brown,White,650,10504,22,15,Texas,Automatic,Compact,"Coupes,Sports Cars",75998.0
Honda,CR-V,2012,2WD,4,163,Gas,Gray,Silver,185,118870,31,23,Texas,Automatic,Compact,"Crossovers,Sport Utilities",15998.0
Chevrolet,Corvette,2015,2WD,8,650,Gas,Brown,White,650,10504,22,15,Texas,Automatic,Compact,"Coupes,Sports Cars",75998.0
GMC,Yukon,2016,2WD,8,460,Gas,Black,Black,420,67749,22,15,Texas,Automatic,Full-size,Sport Utilities,45998.0
Jeep,Renegade,2017,4WD,4,175,Gas,Black,Silver,180,114395,29,21,Texas,Automatic,,"Crossovers,Sport Utilities",17998.0
Ford,Mustang,2020,2WD,8,420,Gas,Black,Red,460,4706,24,,Texas,Manual 6 Speed,Mid-size,"Coupes,Sports Cars",43998.0
Chevrolet,Silverado 1500,2016,2WD,8,,Hybrid,Black,White,,82049,24,18,Texas,Automatic,Full-size,Pickup Trucks,32998.0
Acura,TL,2012,2WD,6,254,Gas,Black,Black,280,72359,29,20,Texas,Automatic,Mid-size,"Luxury Vehicles,Sedans",17998.0
GMC,Yukon XL 1500,2017,4WD,8,383,Gas,Black,Black,355,58292,22,15,Texas,Automatic,Full-size,Sport Utilities,46998.0
Ford,Fusion,2014,2WD,4,,Turbo Gas,Black,Black,,81688,,,Texas,Automatic,Mid-size,Sedans,16998.0
Honda,CR-V,2012,2WD,4,163,Gas,Gray,Silver,185,118870,31,23,Texas,Automatic,Compact,"Crossovers,Sport Utilities",15998.0
Chevrolet,Corvette,2015,2WD,8,650,Gas,Brown,White,650,10504,22,15,Texas,Automatic,Compact,"Coupes,Sports Cars",75998.0
GMC,Yukon,2016,2WD,8,460,Gas,Black,Black,420,67749,22,15,Texas,Automatic,Full-size,Sport Utilities,45998.0
Jeep,Renegade,2017,4WD,4,175,Gas,Black,Silver,180,114395,29,21,Texas,Automatic,,"Crossovers,Sport Utilities",17998.0
Ford,Mustang,2020,2WD,8,420,Gas,Black,Red,460,4706,24,,Texas,Manual 6 Speed,Mid-size,"Coupes,Sports Cars",43998.0
Chevrolet,Silverado 2500,2017,4WD,8,380,Gas,Black,White,360,19247,,,Texas,Automatic,Full-size,Pickup Trucks,51998.0
Dodge,Durango,2019,2WD,8,390,Gas,Black,Gray,360,43341,22,14,Texas,Automatic,Full-size,Sport Utilities,38998.0
Nissan,Armada,2014,2WD,8,385,Gas,Tan,Blue,317,69018,19,13,Texas,Automatic,Full-size,Sport Utilities,25998.0
Kia,Optima,2015,2WD,4,181,Gas,Tan,Gray,192,109327,34,23,Texas,Automatic,Mid-size,Sedans,14998.0
Acura,TL,2012,2WD,6,254,Gas,Black,Black,280,72359,29,20,Texas,Automatic,Mid-size,"Luxury Vehicles,Sedans",17998.0
GMC,Yukon XL 1500,2017,4WD,8,383,Gas,Black,Black,355,58292,22,15,Texas,Automatic,Full-size,Sport Utilities,46998.0
Mercedes-Benz,GLE43 AMG,2017,4WD,6,384,Turbo Gas,Black,Black,362,43600,23,17,Texas,Automatic,Full-size,"Luxury Vehicles,Sport Utilities",46998.0
GMC,Yukon XL 1500,2017,4WD,8,383,Gas,Black,Black,355,58292,22,15,Texas,Automatic,Full-size,Sport Utilities,46998.0
Mercedes-Benz,GLE43 AMG,2017,4WD,6,384,Turbo Gas,Black,Black,362,43600,23,17,Texas,Automatic,Full-size,"Luxury Vehicles,Sport Utilities",46998.0
Ford,Escape,2012,2WD,6,,,Black,Silver,,19490,,,Texas,Automatic,Compact,Sport Utilities,19998.0
Mercedes-Benz,GLE43 AMG,2017,4WD,6,384,Turbo Gas,Black,Black,362,43600,23,17,Texas,Automatic,Full-size,"Luxury Vehicles,Sport Utilities",46998.0
Ford,Escape,2012,2WD,6,,,Black,Silver,,19490,,,Texas,Automatic,Compact,Sport Utilities,19998.0
Mercedes-Benz,GLE43 AMG,2017,4WD,6,384,Turbo Gas,Black,Black,362,43600,23,17,Texas,Automatic,Full-size,"Luxury Vehicles,Sport Utilities",46998.0
Ford,Escape,2012,2WD,6,,,Black,Silver,,19490,,,Texas,Automatic,Compact,Sport Utilities,19998.0
Acura,TLX,2015,2WD,6,267,Gas,Brown,White,290,117933,34,21,Texas,Automatic,,"Luxury Vehicles,Sedans,Sports Cars",18998.0
Toyota,Tundra,2021,4WD,8,401,Gas,Brown,White,381,4765,,,Texas,Automatic,Full-size,Pickup Trucks,58998.0
Ford,F150,2015,4WD,8,,,Tan,Black,,100255,,,Texas,Automatic,Full-size,Pickup Trucks,30998.0
GMC,Yukon,2017,2WD,8,383,Gas,Gray,Red,355,46009,23,16,Texas,Automatic,Full-size,Sport Utilities,45998.0
Toyota,Tundra,2016,2WD,8,401,Gas,Gray,Gray,381,63700,18,13,Texas,Automatic,Full-size,Pickup Trucks,32998.0
Chevrolet,Silverado 1500,2020,2WD,6,305,Gas,Black,Brown,285,4796,21,16,Texas,Automatic,Full-size,Pickup Trucks,38998.0
Toyota,4Runner,2015,4WD,6,278,Gas,Tan,White,270,90576,21,17,Texas,Automatic,Mid-size,Sport Utilities,32998.0
Nissan,370Z,2013,2WD,6,270,Gas,Black,White,332,94486,26,19,Texas,Automatic,Compact,"Coupes,Sports Cars",23998.0
Ford,F250,2015,4WD,8,405,Gas,Brown,White,385,66050,,,Texas,Automatic,Full-size,Pickup Trucks,46998.0
Chevrolet,Suburban 1500,2020,2WD,8,383,Gas,Black,Gray,355,17514,22,15,Texas,Automatic,Full-size,Sport Utilities,53998.0
Chevrolet,Tahoe,2019,2WD,8,,,Black,Brown,,13879,,,Texas,Automatic,Full-size,Sport Utilities,45998.0
Chevrolet,Silverado 2500,2017,4WD,8,380,Gas,Black,White,360,19247,,,Texas,Automatic,Full-size,Pickup Trucks,51998.0
Cadillac,Escalade,2016,2WD,8,460,Gas,Tan,Gray,420,59656,22,15,Texas,Automatic,Full-size,"Luxury Vehicles,Sport Utilities",50998.0
Cadillac,Escalade,2020,4WD,8,460,Gas,Black,White,420,9856,21,14,Texas,Automatic,Full-size,"Luxury Vehicles,Sport Utilities",81998.0
Honda,CR-V,2013,4WD,4,163,Gas,Black,Gray,185,120625,30,22,Texas,Automatic,Compact,"Crossovers,Sport Utilities",16998.0
Dodge,Durango,2019,2WD,8,390,Gas,Black,Gray,360,43341,22,14,Texas,Automatic,Full-size,Sport Utilities,38998.0
Nissan,Armada,2014,2WD,8,385,Gas,Tan,Blue,317,69018,19,13,Texas,Automatic,Full-size,Sport Utilities,25998.0
Kia,Optima,2015,2WD,4,181,Gas,Tan,Gray,192,109327,34,23,Texas,Automatic,Mid-size,Sedans,14998.0
Dodge,Grand Caravan,2020,2WD,6,260,Gas,Black,White,283,7147,,,Texas,Automatic,Full-size,Minivans and Vans,30998.0
Land Rover,Range Rover,2015,4WD,6,,,Black,Gray,,49091,,,Texas,Automatic,Full-size,"Luxury Vehicles,Sport Utilities",52998.0
Dodge,Durango,2019,2WD,8,390,Gas,Black,Gray,360,43341,22,14,Texas,Automatic,Full-size,Sport Utilities,38998.0
Nissan,Armada,2014,2WD,8,385,Gas,Tan,Blue,317,69018,19,13,Texas,Automatic,Full-size,Sport Utilities,25998.0
Kia,Optima,2015,2WD,4,181,Gas,Tan,Gray,192,109327,34,23,Texas,Automatic,Mid-size,Sedans,14998.0
Dodge,Grand Caravan,2020,2WD,6,260,Gas,Black,White,283,7147,,,Texas,Automatic,Full-size,Minivans and Vans,30998.0
Land Rover,Range Rover,2015,4WD,6,,,Black,Gray,,49091,,,Texas,Automatic,Full-size,"Luxury Vehicles,Sport Utilities",52998.0
Toyota,Highlander Hybrid,2021,2WD,4,175,Hybrid,Black,White,243,8110,,,Texas,Automatic,Mid-size,"Crossovers,Sport Utilities,Hybrids",54998.0
Chevrolet,Tahoe,2015,2WD,8,383,Gas,Tan,Black,355,121394,23,16,Texas,Automatic,Full-size,Sport Utilities,33998.0
Chevrolet,Tahoe,2014,2WD,8,335,Gas,Tan,Black,320,80295,21,15,Texas,Automatic,Full-size,Sport Utilities,31998.0
